INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG001', 'John Doe', '019-25449791', '031125-01-1438');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG002', 'Jane Smith', '019-26387923', '820102-01-4567');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG003', 'David Johnson', '019-23948729', '751202-12-3549');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG004', 'Emily Davis', '019-28374829', '840512-14-9382');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG005', 'Michael Brown', '019-21748930', '900818-02-8394');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG006', 'Sophia Wilson', '019-28374839', '871213-13-2432');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG007', 'James Moore', '019-28374892', '821105-02-9472');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG008', 'Olivia Taylor', '019-27382939', '920320-04-9483');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG009', 'William Anderson', '019-27382949', '890704-10-2738');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG010', 'Ava Thomas', '019-28374847', '840910-01-8394');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG011', 'Noah Jackson', '019-27474838', '940510-03-4938');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG012', 'Isabella White', '019-28474827', '930710-01-1034');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG013', 'Mason Harris', '019-28574839', '940220-08-2038');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG014', 'Mia Lewis', '019-28674837', '900401-09-4932');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG015', 'Ethan Clark', '019-28774832', '911202-04-7348');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG016', 'Amelia Walker', '019-28874831', '950602-02-9238');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG017', 'Lucas Hill', '019-28974838', '820315-03-1032');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG018', 'Harper Green', '019-29074836', '870512-06-7342');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG019', 'Benjamin Adams', '019-29174838', '890403-01-4839');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG020', 'Ella Baker', '019-29274835', '980510-03-2043');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG021', 'Logan Gonzalez', '019-29374832', '940907-05-2438');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG022', 'Charlotte Nelson', '019-29474836', '950805-10-2384');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG023', 'Alexander Carter', '019-29574830', '901005-03-7453');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG024', 'Abigail Mitchell', '019-29674834', '850912-07-2138');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG025', 'Sebastian Perez', '019-29774833', '920415-04-1842');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG026', 'Avery Roberts', '019-29874832', '980815-12-3484');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG027', 'Jack Phillips', '019-29974830', '850603-08-1948');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG028', 'Scarlett Campbell', '019-30074839', '880403-01-1749');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG029', 'Henry Parker', '019-30174834', '911008-06-3847');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG030', 'Grace Evans', '019-30274832', '930608-05-3748');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG031', 'John Smith', '019-000031', '000031-01-IC0031');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG032', 'Jane Doe', '019-000032', '000032-01-IC0032');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG033', 'Michael Johnson', '019-000033', '000033-01-IC0033');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG034', 'Emily Davis', '019-000034', '000034-01-IC0034');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG035', 'David Wilson', '019-000035', '000035-01-IC0035');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG036', 'Sarah Brown', '019-000036', '000036-01-IC0036');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG037', 'James Miller', '019-000037', '000037-01-IC0037');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG038', 'Jessica Taylor', '019-000038', '000038-01-IC0038');
INSERT INTO Passenger (PassengerID, PassengerName, PassengerContactNo, PassengerIC) VALUES ('PSG039', 'Daniel Anderson', '019-000039', '000039-01-IC0039');
