INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF2444', 'Dan Matteucci', '0418445457', '880131-12-8974', 'Active', '1314', 'DEPT5311');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF4370', 'Tabor Dicker', '0163677531', '031030-16-3350', 'Active', '9565', 'DEPT9223');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF3507', 'Farand Hasted', '010-72525498', '041103-16-7372', 'Active', '6312', 'DEPT9233');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF0360', 'Reggie Kyttor', '0709943083', '760220-09-5288', 'Active', '1341', 'DEPT5176');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF4873', 'Cherry Taaffe', '010-0986217', '501209-09-5583', 'Active', '6259', 'DEPT5313');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF6201', 'Ingra Tuther', '012-8565748', '501105-08-2201', 'Active', '8682', 'DEPT1781');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF7714', 'Gothart Torbet', '01769404761', '030909-09-9976', 'Active', '4985', 'DEPT7469');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF4958', 'Uri Hiscoke', '013-6311050', '821108-12-9744', 'Active', '9655', 'DEPT9233');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF9076', 'Dall Winser', '017-31719710', '021204-12-3846', 'Active', '4842', 'DEPT3146');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF0799', 'Zed Leneham', '08-7340488', '740610-12-2369', 'Active', '5699', 'DEPT1781');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF2023', 'Trisha Puttock', '0115731954', '681204-12-5425', 'Active', '7621', 'DEPT5311');
INSERT INTO Staff (StaffID, StaffName, StaffContactNo, StaffIC, staffstatus, salary, DepartmentID) VALUES ('STF8101', 'Gwenette Van der Kruis', '053382343', '701030-02-1983', 'Active', '3031', 'DEPT9256');
